player,matches,runs,balls,strike_rate,wickets,balls_bowled,runs_conceded,economy,recent_form,performance_score
D Brevis,10.0,0.028699775393062142,176.0,0.43560606060606066,0.004694835680751174,3.0,8.0,0.4444444444444444,0.4356060606060606,0.0974560040451333
D Ferreira,2.0,0.0009982530571499876,11.0,0.24242424242424246,0.0,0.0,0.0,0.0,0.24242424242424243,0.07307666129727523
D Jansen,0.0,0.0,0.0,0.0,0.004694835680751174,28.0,53.0,0.31547619047619047,0.0,-0.030373910127431254
D Kalyankrishna,1.0,0.00037434489643124535,8.0,0.125,0.009389671361502348,50.0,88.0,0.29333333333333333,0.125,0.010645105220793186
D Padikkal,64.0,0.19453456451210382,1323.0,0.3927941546989166,0.0,0.0,0.0,0.0,0.3655555555555555,0.18456341403174326
D Pretorius,5.0,0.005490391814324932,28.0,0.5238095238095238,0.03286384976525822,166.0,242.0,0.24297188755020074,0.5238095238095237,0.14298326796416536
D Salunkhe,3.0,0.004117793860743699,24.0,0.45833333333333337,0.004694835680751174,51.0,80.0,0.26143790849673204,0.4583333333333333,0.1139711459217749
D Wiese,11.0,0.01846768155727477,105.0,0.4698412698412699,0.07981220657276995,307.0,447.0,0.24267100977198694,0.46984126984126984,0.14310202016342094
D du Preez,1.0,0.0012478163214374844,13.0,0.25641025641025644,0.018779342723004695,43.0,56.0,0.21705426356589147,0.2564102564102564,0.06034922195974207
DA Miller,123.0,0.36486149238832044,2171.0,0.4489482573314909,0.0,0.0,0.0,0.0,0.4733333333333333,0.26360525333545154
DA Warner,184.0,0.8194409782879961,4849.0,0.45143328521344606,0.0,2.0,2.0,0.16666666666666666,0.45444444444444443,0.4057182192597157
DAJ Bracewell,1.0,0.0014973795857249814,9.0,0.4444444444444444,0.014084507042253521,25.0,32.0,0.21333333333333332,0.4444444444444444,0.11604520961556712
DB Das,22.0,0.037933616171699526,267.0,0.37952559300873906,0.0,0.0,0.0,0.0,0.379525593008739,0.12713444356271655
DB Ravi Teja,25.0,0.04679311205390567,325.0,0.3846153846153846,0.004694835680751174,18.0,28.0,0.25925925925925924,0.38222222222222224,0.1068903294780861
DE Bollinger,4.0,0.0026204142750187176,23.0,0.30434782608695654,0.20187793427230047,600.0,716.0,0.1988888888888889,0.3043478260869565,0.12280208750152972
DG Nalkande,2.0,0.0014973795857249814,12.0,0.33333333333333337,0.028169014084507043,89.0,150.0,0.28089887640449435,0.3333333333333333,0.07947644873568108
DH Yagnik,17.0,0.021212877464437237,142.0,0.3990610328638498,0.0,0.0,0.0,0.0,0.39906103286384975,0.12714281697170798
DJ Bravo,110.0,0.19465934614424757,1247.0,0.41700080192461914,0.971830985915493,3296.0,4436.0,0.22431229773462785,0.4388888888888889,0.41485193278149635
DJ Harris,4.0,0.013850761167956077,103.0,0.3592233009708738,0.0,18.0,26.0,0.2407407407407407,0.35922330097087374,0.08854068262597269
DJ Hooda,96.0,0.18292987272273523,1170.0,0.41766381766381766,0.046948356807511735,384.0,535.0,0.2322048611111111,0.4033333333333333,0.17712467962634523
DJ Hussey,61.0,0.16496131769403544,1101.0,0.40024220405691796,0.046948356807511735,323.0,485.0,0.2502579979360165,0.3866666666666666,0.1638416349487515
DJ Jacobs,7.0,0.011479910157224858,101.0,0.3036303630363037,0.0,0.0,0.0,0.0,0.30363036303630364,0.09510707746591981
DJ Malan,1.0,0.0032443224357374596,26.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.3333333333333333,0.10113551285250812
DJ Mitchell,15.0,0.043798352882455704,274.0,0.427007299270073,0.004694835680751174,51.0,97.0,0.3169934640522875,0.42700729927007297,0.11290597580484044
DJ Muthuswami,1.0,0.00012478163214374845,3.0,0.1111111111111111,0.018779342723004695,84.0,108.0,0.2142857142857143,0.1111111111111111,0.016643271156763385
DJ Thornely,4.0,0.00486648365360619,54.0,0.24074074074074073,0.014084507042253521,44.0,40.0,0.1515151515151515,0.24074074074074073,0.06229510311003261
DJ Willey,5.0,0.006613426503618668,64.0,0.2760416666666667,0.03286384976525822,221.0,277.0,0.20889894419306182,0.27604166666666663,0.07245326729827492
DJG Sammy,20.0,0.03681058148240579,251.0,0.3917662682602922,0.06572769953051644,244.0,354.0,0.24180327868852458,0.39176626826029215,0.12266518101070632
DJM Short,7.0,0.014349887696531071,102.0,0.37581699346405234,0.004694835680751174,18.0,23.0,0.21296296296296294,0.3758169934640523,0.09764497135689307
DL Chahar,12.0,0.009982530571499875,61.0,0.4371584699453552,0.37089201877934275,1746.0,2243.0,0.21410843833524248,0.4371584699453551,0.20595358754494295
DL Vettori,16.0,0.015098577489393562,118.0,0.3418079096045198,0.1596244131455399,785.0,894.0,0.18980891719745221,0.34180790960451973,0.12875208656928344
DM Bravo,1.0,0.0007486897928624907,5.0,0.4,0.0,0.0,0.0,0.0,0.39999999999999997,0.12026204142750188
DNT Zoysa,2.0,0.001372597953581233,9.0,0.40740740740740744,0.009389671361502348,69.0,100.0,0.24154589371980673,0.40740740740740744,0.10089545997437058
DP Conway,22.0,0.11529822810082356,669.0,0.4603886397608371,0.0,0.0,0.0,0.0,0.4444444444444444,0.17767376199771975
DP Nannes,2.0,0.0004991265285749938,13.0,0.10256410256410257,0.1784037558685446,689.0,815.0,0.19714562167392358,0.10256410256410256,0.05583030185397581
DP Vijaykumar,1.0,0.00012478163214374845,1.0,0.33333333333333337,0.018779342723004695,159.0,205.0,0.21488469601677146,0.3333333333333333,0.08325003965032433
DPMD Jayawardene,78.0,0.2256051909158972,1522.0,0.39597021462987303,0.0,0.0,0.0,0.0,0.3433333333333333,0.19512103714469892
DR Martyn,1.0,0.0023708510107312204,26.0,0.24358974358974356,0.0,0.0,0.0,0.0,0.24358974358974356,0.07390672093067899
